observer,orientation,reported,rt
1,124,109,1.4125563243615
1,114,117,2.13067717981903
1,107,118,1.10650260439434
1,64,77,1.69514048552446
1,52,59,1.21245413271026
1,62,63,1.77752355990015
1,10,28,1.2595471908644
1,118,126,0.835720552186103
1,146,131,1.81281606405537
1,114,135,2.08360029320465
1,78,62,1.56559095911871
1,28,18,2.04833546725058
1,150,147,1.87176752053347
1,48,45,1.11831777496991
1,144,146,1.14181563395323
1,19,33,1.25951204888042
1,61,69,1.94222377856204
1,55,59,1.38903265312183
1,93,79,1.57742012429298
1,63,66,1.04763107260442
1,172,9,1.80110725240229
1,102,93,1.02412854875729
1,125,113,1.10647492619319
1,24,42,2.4603463133717
1,73,57,1.57744562555308
1,97,114,2.04830001427763
1,39,55,1.00055698490542
1,100,91,1.25957611302874
1,74,67,1.49493037999491
1,149,142,1.24774539290229
1,144,134,1.09475585183827
1,169,157,1.2830652642624
1,53,46,1.90701399801765
1,120,109,1.03588089915138
1,107,116,1.64800668755197
1,177,25,0.812144945448381
1,138,139,1.43616520713476
1,136,127,1.08291922288481
1,30,46,1.84817138839207
1,16,17,1.14185357485621
1,55,40,2.44855135721082
1,77,43,1.37727501588233
1,135,142,1.94236279154211
1,84,54,1.93053891321688
1,127,135,1.17715292081266
1,126,119,1.07116407357171
1,47,57,2.04829845932181
1,154,146,1.63627299662039
1,156,146,1.54208314842253
1,80,61,1.14182092079864
1,125,123,2.06009123854164
1,29,19,1.3890454037537
1,104,113,1.37727563786757
1,72,59,1.50674306264409
1,12,13,1.69509694678345
1,21,26,1.35372677635678
1,160,153,1.49496179008929
1,83,62,1.07114945699504
1,159,167,1.9187675923713
1,36,42,1.78928088615066
1,27,32,1.68331380828022
1,174,168,1.33018879953306
1,25,48,3.74353815097857
1,74,35,1.73046377778883
1,147,120,1.1535440380394
1,136,112,1.42434537169174
1,61,63,1.22419093355347
1,8,16,1.37723831894255
1,20,24,1.35372397743777
1,70,54,1.09475740679773
1,50,47,1.14186197161325
1,21,37,1.28308889958134
1,73,47,1.1064599986239
1,67,59,0.835726772005728
1,39,64,1.35367981671516
1,43,29,1.25956522834167
1,82,49,1.07118895285021
1,161,158,0.965235247596866
1,143,150,2.87237861787435
1,170,177,2.02476732429932
1,95,99,1.63620955445003
1,110,127,1.64801166340476
1,47,52,0.929890185965633
1,26,25,1.35372739834202
1,87,68,1.31843085130458
1,30,43,1.35369909815927
1,15,27,2.24843734790556
1,71,42,1.22419311049089
1,154,135,0.823983751342894
1,43,32,1.28315203075545
1,87,79,1.13005457581312
1,9,13,1.58918367035949
1,69,60,1.63625962400693
1,31,34,1.35370687293107
1,156,143,1.56563760777135
1,109,125,1.03587810022873
1,28,33,1.40085031162744
1,19,15,1.11823660631489
1,21,18,1.13003622733959
1,89,102,1.78931789407943
1,79,92,1.31837176301269
1,42,37,1.17713768225076
1,0,4,1.05937036137402
